city_name,date,rain_sum (mm)
Anuradhapura,5/23/2011,1.0
Anuradhapura,5/24/2011,1.3
Anuradhapura,5/25/2011,4.5
Anuradhapura,5/26/2011,1.8
Anuradhapura,5/27/2011,0.7
Anuradhapura,5/28/2011,0.6
Anuradhapura,5/29/2011,1.5
Anuradhapura,5/30/2011,0.1
Anuradhapura,5/31/2011,0.1
Anuradhapura,6/1/2011,2.9
Anuradhapura,6/2/2011,0.9
Anuradhapura,6/3/2011,0.0
Anuradhapura,6/4/2011,0.0
Anuradhapura,6/5/2011,0.0
Anuradhapura,6/6/2011,1.2
Anuradhapura,6/7/2011,1.2
Anuradhapura,6/8/2011,0.0
Anuradhapura,6/9/2011,0.6
Anuradhapura,6/10/2011,0.0
Anuradhapura,6/11/2011,0.0
Anuradhapura,6/12/2011,0.3
Anuradhapura,6/13/2011,1.1
Anuradhapura,6/14/2011,0.7
Anuradhapura,6/15/2011,0.0
Anuradhapura,6/16/2011,1.2
Anuradhapura,6/17/2011,0.4
Anuradhapura,6/18/2011,0.3
Anuradhapura,6/19/2011,0.0
Anuradhapura,6/20/2011,0.0
Anuradhapura,6/21/2011,0.0
Anuradhapura,6/22/2011,0.4
Anuradhapura,6/23/2011,0.2
Anuradhapura,6/24/2011,0.7
Anuradhapura,6/25/2011,2.1
Anuradhapura,6/26/2011,0.2
Anuradhapura,6/27/2011,1.1
Anuradhapura,6/28/2011,0.2
Anuradhapura,6/29/2011,0.6
Anuradhapura,6/30/2011,0.7
Anuradhapura,7/1/2011,0.7
Anuradhapura,7/2/2011,0.3
Anuradhapura,7/3/2011,0.3
Anuradhapura,7/4/2011,0.5
Anuradhapura,7/5/2011,2.2
Anuradhapura,7/6/2011,0.7
Anuradhapura,7/7/2011,0.5
Anuradhapura,7/8/2011,1.5
Anuradhapura,7/9/2011,7.6
Anuradhapura,7/10/2011,2.1
Anuradhapura,7/11/2011,0.8
Anuradhapura,7/12/2011,2.4
Anuradhapura,7/13/2011,1.0
Anuradhapura,7/14/2011,0.7
Anuradhapura,7/15/2011,0.3
Anuradhapura,7/16/2011,4.8
Anuradhapura,7/17/2011,0.3
Anuradhapura,7/18/2011,0.6
Anuradhapura,7/19/2011,0.1
Anuradhapura,7/20/2011,0.8
Anuradhapura,7/21/2011,0.8
Anuradhapura,7/22/2011,0.7
Anuradhapura,7/23/2011,0.6
Anuradhapura,7/24/2011,2.2
Anuradhapura,7/25/2011,1.0
Anuradhapura,7/26/2011,1.2
Anuradhapura,7/27/2011,0.7
Anuradhapura,7/28/2011,1.3
